,contrast,alt_area_missing,alt_input_missing,alt_link_missing,alt_map_missing,alt_missing,alt_spacer_missing,aria_reference_broken,blink,button_empty,heading_empty,label_empty,label_missing,label_multiple,language_missing,link_empty,link_skip_broken,longdesc_invalid,marquee,meta_refresh,server_image_map,th_empty,title_invalid
Ads - AdSense,7890624,3825,5770,1843322,1829,899289,122285,49930,178,108679,41832,18958,294400,14432,39728,1295681,2216,2266,1727,2389,0,6071,3090
Ads - DoubleClick,3790003,2275,3539,839640,1092,554281,75085,43155,109,83005,27788,15724,186758,11990,20241,761358,1734,1266,619,2082,0,4210,357
Ads - Criteo,1147321,1153,1021,185068,517,179987,25146,25812,20,36210,11823,11321,85129,11451,4394,269158,480,1210,120,499,0,839,81
Ads - Prebid,970998,441,674,212503,200,185336,29134,11589,12,23860,8897,3555,57517,5185,3883,247469,414,204,111,889,0,681,112
Ads - AppNexus,806019,484,613,173603,120,169293,38538,16008,2,21664,8008,5180,57145,6363,3012,182997,426,170,44,333,0,1001,56
Ads - AdRoll,441601,769,796,79085,306,85486,16139,11131,7,14391,6372,5542,40607,4314,3544,97819,318,104,88,30,0,613,89
Ads - VigLink,699830,332,674,217593,195,78612,11824,659,31,2364,2436,730,17043,724,3059,47321,165,78,214,24,0,387,63
Ads - Yandex.Direct,314702,237,635,59962,186,52665,12266,1780,15,3998,1120,947,16833,351,2684,42243,37,114,120,39,0,605,48
